Domain/Facet,Sample Group,Sample Size (n),Mean (M),Standard Deviation (SD),Cronbach's Alpha (α),Test-Retest (Adolescent)
Compassion,U.S. internet,1000,3.84,0.78,0.62,0.65
Compassion,U.S. college,470,3.85,0.75,0.70,0.65
Compassion,CN college,1194,3.75,0.61,0.66,0.65
Compassion,CN employee,486,3.85,0.60,0.65,0.65
Compassion,CN substance use,765,4.07,0.62,0.51,0.65
Compassion,CN adolescent T1,315,3.76,0.66,0.59,0.65
Compassion,CN adolescent T2,315,3.68,0.68,0.59,0.65
Respectfulness,U.S. internet,1000,3.98,0.71,0.67,0.53
Respectfulness,U.S. college,470,3.95,0.66,0.69,0.53
Respectfulness,CN college,1194,3.80,0.54,0.60,0.53
Respectfulness,CN employee,486,3.94,0.55,0.62,0.53
Respectfulness,CN substance use,765,3.86,0.67,0.55,0.53
Respectfulness,CN adolescent T1,315,3.49,0.61,0.47,0.53
Respectfulness,CN adolescent T2,315,3.45,0.55,0.47,0.53
Trust,U.S. internet,1000,3.23,0.82,0.67,0.63
Trust,U.S. college,470,3.34,0.78,0.71,0.63
Trust,CN college,1194,3.51,0.62,0.59,0.63
Trust,CN employee,486,3.65,0.65,0.63,0.63
Trust,CN substance use,765,3.85,0.65,0.49,0.63
Trust,CN adolescent T1,315,3.42,0.71,0.52,0.63
Trust,CN adolescent T2,315,3.42,0.71,0.52,0.63
Conscientiousness,U.S. internet,1000,3.43,0.77,0.88,0.73
Conscientiousness,U.S. college,470,3.47,0.65,0.85,0.73
Conscientiousness,CN college,1194,3.29,0.59,0.85,0.73
Conscientiousness,CN employee,486,3.68,0.57,0.86,0.73
Conscientiousness,CN substance use,765,3.73,0.61,0.80,0.73
Conscientiousness,CN adolescent T1,315,3.17,0.63,0.81,0.73
Conscientiousness,CN adolescent T2,315,3.17,0.58,0.81,0.73
Organization,U.S. internet,1000,3.42,1.01,0.84,0.68
Organization,U.S. college,470,3.60,0.88,0.82,0.68
Organization,CN college,1194,3.26,0.77,0.76,0.68
Organization,CN employee,486,3.65,0.73,0.77,0.68
Organization,CN substance use,765,3.79,0.72,0.60,0.68
Organization,CN adolescent T1,315,3.27,0.85,0.73,0.68
Organization,CN adolescent T2,315,3.29,0.80,0.73,0.68
Productiveness,U.S. internet,1000,3.37,0.90,0.77,0.58
Productiveness,U.S. college,470,3.34,0.78,0.70,0.58
Productiveness,CN college,1194,3.02,0.73,0.75,0.58
Productiveness,CN employee,486,3.55,0.70,0.73,0.58
Productiveness,CN substance use,765,3.72,0.75,0.61,0.58
Productiveness,CN adolescent T1,315,2.83,0.73,0.60,0.58
Productiveness,CN adolescent T2,315,2.87,0.70,0.60,0.58
Responsibility,U.S. internet,1000,3.48,0.81,0.70,0.66
Responsibility,U.S. college,470,3.48,0.68,0.63,0.66
Responsibility,CN college,1194,3.59,0.66,0.74,0.66
Responsibility,CN employee,486,3.85,0.60,0.70,0.66
Responsibility,CN substance use,765,3.62,0.74,0.58,0.66
Responsibility,CN adolescent T1,315,3.41,0.74,0.65,0.66
Responsibility,CN adolescent T2,315,3.35,0.69,0.65,0.66
Neuroticism,U.S. internet,1000,3.07,0.87,0.90,0.76
Neuroticism,U.S. college,470,2.91,0.77,0.89,0.76
Neuroticism,CN college,1194,2.96,0.67,0.87,0.76
Neuroticism,CN employee,486,2.72,0.61,0.86,0.76
Neuroticism,CN substance use,765,2.54,0.64,0.80,0.76
Neuroticism,CN adolescent T1,315,3.15,0.72,0.82,0.76
Neuroticism,CN adolescent T2,315,3.10,0.67,0.82,0.76
Anxiety,U.S. internet,1000,3.43,0.93,0.76,0.64
Anxiety,U.S. college,470,3.43,0.84,0.77,0.64
Anxiety,CN college,1194,3.31,0.75,0.73,0.64
Anxiety,CN employee,486,3.01,0.70,0.68,0.64
Anxiety,CN substance use,765,2.88,0.75,0.51,0.64
Anxiety,CN adolescent T1,315,3.42,0.79,0.59,0.64
Anxiety,CN adolescent T2,315,3.29,0.71,0.59,0.64
Depression,U.S. internet,1000,2.85,1.02,0.82,0.64
Depression,U.S. college,470,2.57,0.92,0.81,0.64
Depression,CN college,1194,2.86,0.77,0.74,0.64
Depression,CN employee,486,2.63,0.66,0.67,0.64
Depression,CN substance use,765,2.40,0.75,0.59,0.64
Depression,CN adolescent T1,315,3.03,0.85,0.63,0.64
Depression,CN adolescent T2,315,2.98,0.76,0.63,0.64
Emotional volatility,U.S. internet,1000,2.93,1.05,0.83,0.73
Emotional volatility,U.S. college,470,2.74,0.95,0.83,0.73
Emotional volatility,CN college,1194,2.70,0.87,0.85,0.73
Emotional volatility,CN employee,486,2.52,0.81,0.83,0.73
Emotional volatility,CN substance use,765,2.35,0.82,0.80,0.73
Emotional volatility,CN adolescent T1,315,3.01,1.02,0.80,0.73
Emotional volatility,CN adolescent T2,315,3.04,0.98,0.80,0.73
Openness,U.S. internet,1000,3.92,0.65,0.83,0.74
Openness,U.S. college,470,3.64,0.64,0.85,0.74
Openness,CN college,1194,3.57,0.59,0.84,0.74
Openness,CN employee,486,3.52,0.57,0.83,0.74
Openness,CN substance use,765,3.31,0.59,0.75,0.74
Openness,CN adolescent T1,315,3.28,0.62,0.75,0.74
Openness,CN adolescent T2,315,3.30,0.65,0.75,0.74
Intellectual curiosity,U.S. internet,1000,4.10,0.70,0.66,0.51
Intellectual curiosity,U.S. college,470,3.82,0.72,0.72,0.51
Intellectual curiosity,CN college,1194,3.53,0.68,0.65,0.51
Intellectual curiosity,CN employee,486,3.51,0.64,0.60,0.51
Intellectual curiosity,CN substance use,765,3.27,0.63,0.28,0.51
Intellectual curiosity,CN adolescent T1,315,3.37,0.71,0.39,0.51
Intellectual curiosity,CN adolescent T2,315,3.35,0.65,0.39,0.51
Aesthetic sensitivity,U.S. internet,1000,3.80,0.92,0.75,0.72
Aesthetic sensitivity,U.S. college,470,3.57,0.90,0.82,0.72
Aesthetic sensitivity,CN college,1194,3.67,0.85,0.82,0.72
Aesthetic sensitivity,CN employee,486,3.42,0.86,0.80,0.72
Aesthetic sensitivity,CN substance use,765,3.13,0.84,0.63,0.72
Aesthetic sensitivity,CN adolescent T1,315,3.13,1.00,0.73,0.72
Aesthetic sensitivity,CN adolescent T2,315,3.15,1.03,0.73,0.72
Creative imagination,U.S. internet,1000,3.85,0.81,0.74,0.67
Creative imagination,U.S. college,470,3.52,0.77,0.76,0.67
Creative imagination,CN college,1194,3.50,0.73,0.82,0.67
Creative imagination,CN employee,486,3.62,0.68,0.80,0.67
Creative imagination,CN substance use,765,3.53,0.75,0.69,0.67
Creative imagination,CN adolescent T1,315,3.34,0.80,0.73,0.67
Creative imagination,CN adolescent T2,315,3.41,0.78,0.73,0.67
